run,task,phase,arch,ticks,readout,transitions,dev_score,state_probe,greedy_dominant_action,entropy_first_quarter,entropy_last_quarter,value_loss_first_quarter,value_loss_last_quarter,clip_fraction_last_quarter,approx_kl_last_quarter,grad_norm_first_quarter,grad_norm_last_quarter,train_success_last_quarter,rollout_dominant_action_last_quarter,curve,curve_peak,curve_final,late_drop,still_rising,wall_seconds,transitions_per_second
dodge-ticks-linear-s0,dodge,ticks,linear,8,descending,65536,0.9666666666666668,0.525,0.53125,1.0570078046396674,0.8452040251414683,2.0431034347606527,2.6553753841135643,0.0023040771484375,0.0002461851596429147,2.9112477454973034,3.0486404561053253,0.915625,0.41119384765625,"[0.9375, 0.96875, 0.96875, 0.9791666666666667]",0.9791666666666667,0.9791666666666667,0.0,True,26.341416413837578,2487.9451799552003
dodge-ticks-linear-s1,dodge,ticks,linear,8,descending,65536,0.8958333333333334,0.475,0.4979166666666667,1.0524975305416007,0.8402779968554392,2.011461130873993,2.7221004682788683,0.0012969970703125,0.00021008250502961258,2.8352461358310332,3.130271646470014,0.8985416666666668,0.42132568359375,"[0.9583333333333334, 0.875, 0.9166666666666667, 0.8958333333333334]",0.9583333333333334,0.8958333333333334,0.0625,False,26.314392290078104,2490.5002280714075
dodge-ticks-linear-s2,dodge,ticks,linear,8,descending,65536,0.8916666666666668,0.625,0.44479166666666664,1.0524294670190382,0.8149006104153209,2.018294209771646,2.8423805445378765,0.0005950927734375,0.00010662432784739153,2.9132808835128214,3.0488363097210183,0.8933333333333333,0.4002685546875,"[0.9583333333333334, 0.9375, 0.9166666666666667, 0.9166666666666667]",0.9583333333333334,0.9166666666666667,0.04166666666666663,False,26.285031833220273,2493.282124055581
flappy-all_readout-gru-s0,flappy,all_readout,gru,4,all,65536,0.3666666666666666,0.0,0.8872901678657075,0.6039262972109836,0.23657564917558824,0.021383140757273034,0.3246123698027318,0.0084381103515625,0.0007372646201252365,0.20234208742367876,0.6134716927619839,0.2841666666666667,0.8704833984375,"[0.020833333333333332, 0.08333333333333333, 0.25, 0.40625]",0.40625,0.40625,0.0,True,17.93007354286965,3655.088187078968
flappy-all_readout-gru-s1,flappy,all_readout,gru,4,all,65536,0.2,0.0,0.8664987405541562,0.5931679397838479,0.27577124704359474,0.018396231512552028,0.08688432736513355,0.0149383544921875,0.0012900748111135652,0.19991633794906793,0.4364206690665508,0.09437499999999999,0.824951171875,"[0.05208333333333333, 0.03125, 0.08333333333333333, 0.21875]",0.21875,0.21875,0.0,True,18.08964337699581,3622.846433962355
flappy-all_readout-gru-s2,flappy,all_readout,gru,4,all,65536,0.2,0.0,0.8215892053973014,0.6016944547595707,0.31602760351441206,0.020306159178631714,0.0721444005937765,0.0179901123046875,0.001542222764319664,0.2130439295641286,0.452879217450642,0.06791666666666667,0.78594970703125,"[0.03125, 0.020833333333333332, 0.11458333333333333, 0.19791666666666663]",0.19791666666666663,0.19791666666666663,0.0,True,18.029826917976607,3634.865730999195
flappy-curriculum-gru-s0,flappy,curriculum,gru,4,descending,131072,0.3208333333333333,0.07499999999999996,0.884437596302003,0.5104841094028855,0.21021026517252767,0.03891068955178746,0.3110678338926083,0.00830841064453125,0.0007168409289792636,0.22249713587718833,0.6540956814460944,0.25312500000000004,0.868377685546875,"[0.0, 0.0625, 0.2708333333333333, 0.20833333333333331, 0.17708333333333331, 0.32291666666666663, 0.2916666666666667, 0.32291666666666663]",0.32291666666666663,0.32291666666666663,0.0,True,32.660155753663275,4013.2080504637065
flappy-curriculum-gru-s1,flappy,curriculum,gru,4,descending,131072,0.2791666666666667,0.07499999999999996,0.8822790113112694,0.46533581455243656,0.17766201551919883,0.05873965968684418,0.3406992760026194,0.0055389404296875,0.00048800674631144263,0.24919738083834295,0.7622177907111947,0.2911458333333333,0.88134765625,"[0.0, 0.09375, 0.14583333333333331, 0.22916666666666666, 0.19791666666666663, 0.21875, 0.20833333333333334, 0.2604166666666667]",0.2604166666666667,0.2604166666666667,0.0,True,32.64312716689892,4015.301577261593
flappy-curriculum-gru-s2,flappy,curriculum,gru,4,descending,131072,0.2625,0.125,0.8882559158632778,0.4727826366437875,0.19088986778801548,0.057627124055819115,0.318508806059849,0.00659942626953125,0.0005770945418102839,0.2445140525177365,0.710650902461524,0.2685416666666667,0.881103515625,"[0.0, 0.07291666666666666, 0.25, 0.20833333333333331, 0.375, 0.45833333333333337, 0.34375, 0.23958333333333331]",0.45833333333333337,0.23958333333333331,0.21875000000000006,False,32.80001441697823,3996.095804523591
flappy-longer-gru-s0,flappy,longer,gru,4,descending,131072,0.3166666666666666,0.09999999999999998,0.8672360248447205,0.4978880459894403,0.21564282176273855,0.043503726966854686,0.2582778536235071,0.0088653564453125,0.0007656518732446435,0.21717684005376442,0.6372734199310461,0.18645833333333334,0.8558349609375,"[0.0, 0.07291666666666666, 0.19791666666666666, 0.10416666666666666, 0.26041666666666663, 0.33333333333333337, 0.3645833333333333, 0.17708333333333334]",0.3645833333333333,0.17708333333333334,0.18749999999999997,False,32.731667880900204,4004.4399960591068
flappy-longer-gru-s1,flappy,longer,gru,4,descending,131072,0.325,0.15000000000000002,0.8750492707922743,0.4774303875089654,0.20586291930765607,0.05498257264796378,0.30870567181989894,0.01155853271484375,0.0009687428888318691,0.23454960796806357,0.721258746763378,0.22572916666666668,0.866668701171875,"[0.0, 0.13541666666666669, 0.15625, 0.16666666666666666, 0.23958333333333334, 0.17708333333333331, 0.23958333333333334, 0.35416666666666663]",0.35416666666666663,0.35416666666666663,0.0,True,32.75684529537102,4001.3621219660677
flappy-longer-gru-s2,flappy,longer,gru,4,descending,131072,0.4291666666666667,0.17500000000000004,0.8889949109414759,0.47025384063220277,0.19861579734284712,0.04731172645371923,0.29988226840513205,0.00826263427734375,0.0007069895280121612,0.2301442716757961,0.6735877172967338,0.24322916666666666,0.872406005859375,"[0.0, 0.0, 0.3125, 0.16666666666666669, 0.2708333333333333, 0.14583333333333331, 0.16666666666666666, 0.21875]",0.3125,0.21875,0.09375,False,32.62081341102021,4018.0481813405754
flappy-primary-gru-s0,flappy,primary,gru,4,descending,65536,0.12916666666666665,0.09999999999999998,0.8877146631439894,0.6315931095364251,0.25051775437615637,0.02071020796128232,0.2529080981635846,0.0053558349609375,0.0005431211960908323,0.19560716136327205,0.504087027325763,0.1875,0.879150390625,"[0.0, 0.020833333333333332, 0.10416666666666666, 0.10416666666666666]",0.10416666666666666,0.10416666666666666,0.0,True,16.18229271110613,4049.858766614804
flappy-primary-gru-s1,flappy,primary,gru,4,descending,65536,0.2166666666666667,0.07499999999999996,0.8900152052711606,0.6418740070702984,0.268288648326078,0.02064660946836897,0.21161367733614644,0.0062408447265625,0.0005973936742751501,0.184960099485206,0.46703505719149496,0.15437499999999998,0.87249755859375,"[0.0, 0.0, 0.17708333333333331, 0.20833333333333331]",0.20833333333333331,0.20833333333333331,0.0,True,16.102416587993503,4069.9481125625466
flappy-primary-gru-s2,flappy,primary,gru,4,descending,65536,0.2416666666666667,0.09999999999999998,0.8957654723127035,0.6006214771203378,0.24856414599814275,0.028213920635081748,0.22982051406287082,0.00482177734375,0.00045664822421329293,0.20470375821831746,0.4738311129188706,0.15729166666666666,0.88226318359375,"[0.0, 0.020833333333333332, 0.08333333333333333, 0.14583333333333331]",0.14583333333333331,0.14583333333333331,0.0,True,16.028755332168657,4088.651841136633
flappy-primary-linear-s0,flappy,primary,linear,4,descending,65536,0.0,0.42500000000000004,0.5257048092868989,0.6661404281028451,0.5710931105527259,0.358929659599011,0.14161135197899458,0.001678466796875,0.00022980012871950308,1.7771146408420588,1.4080816952642734,0.00020833333333333332,0.5579833984375,"[0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,True,12.563287629862316,5216.468963444262
flappy-primary-linear-s1,flappy,primary,linear,4,descending,65536,0.008333333333333333,0.07499999999999996,0.9409681227863046,0.653931264502837,0.2573698900325629,0.376453155145243,0.14267148369850152,1.52587890625e-05,6.413814565866619e-05,1.8664506953554907,0.9306000193580619,0.03979166666666667,0.861328125,"[0.0, 0.041666666666666664, 0.010416666666666666, 0.010416666666666666]",0.041666666666666664,0.010416666666666666,0.03125,False,12.61522708577104,5194.991699667407
flappy-primary-linear-s2,flappy,primary,linear,4,descending,65536,0.0,0.35,0.5217391304347826,0.658577846040653,0.5573906024718921,0.3627282247221076,0.14416283812309377,0.001129150390625,0.00012279153556079447,1.7065499482586175,1.3986278852898675,0.00020833333333333332,0.52703857421875,"[0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,True,12.785859330906533,5125.662523252038
flappy-primary-mlp-s0,flappy,primary,mlp,4,descending,65536,0.0125,0.050000000000000044,0.9433293978748524,0.6786320337171534,0.23576962343857277,0.04096174670186199,0.08714939423493424,0.0008544921875,0.00010630310521637451,0.2994136882372467,0.27175000784462255,0.039791666666666656,0.8902587890625,"[0.05208333333333333, 0.020833333333333332, 0.03125, 0.03125]",0.05208333333333333,0.03125,0.02083333333333333,False,14.738088005047757,4446.709775213318
flappy-primary-mlp-s1,flappy,primary,mlp,4,descending,65536,0.025,0.0,0.9461009174311926,0.6875549163542494,0.27528618521759357,0.03959104814871039,0.07281903763694152,0.0024566650390625,0.0002739735051801035,0.29361089292163645,0.29768735487832065,0.033125,0.870849609375,"[0.0, 0.03125, 0.020833333333333332, 0.0]",0.03125,0.0,0.03125,False,14.961741665028967,4380.238709319616
flappy-primary-mlp-s2,flappy,primary,mlp,4,descending,65536,0.0125,0.025000000000000022,0.9441805225653207,0.6791923712879767,0.20818569322049313,0.04035878717121411,0.09825995959732703,0.00201416015625,0.00016679976517391774,0.29149325789441805,0.29027912190037025,0.05187499999999999,0.896484375,"[0.041666666666666664, 0.020833333333333332, 0.041666666666666664, 0.05208333333333333]",0.05208333333333333,0.05208333333333333,0.0,True,14.73895470687421,4446.44829320455
flappy-rescue-gru-s0,flappy,rescue,gru,4,descending,131072,0.2333333333333333,0.050000000000000044,0.8859857482185273,0.3409873208169183,0.15409125953887529,0.06419084421886928,0.3295280043324066,0.00665283203125,0.000537044840679119,0.2678947121334901,0.6520692889231752,0.28145833333333337,0.8841552734375,"[0.0, 0.09375, 0.19791666666666663, 0.24999999999999997, 0.2708333333333333, 0.3645833333333333, 0.36458333333333337, 0.4583333333333333]",0.4583333333333333,0.4583333333333333,0.0,True,32.73910112504382,4003.5308086004934
flappy-rescue-gru-s1,flappy,rescue,gru,4,descending,131072,0.25833333333333336,0.125,0.8897122929380994,0.3467798185174803,0.16153794335264324,0.06294025549795121,0.2817765457502516,0.00506591796875,0.00041432455788364964,0.28630559457854815,0.6103135743676202,0.23166666666666666,0.88671875,"[0.0, 0.010416666666666666, 0.21875, 0.27083333333333337, 0.28125, 0.40625, 0.20833333333333334, 0.375]",0.40625,0.375,0.03125,False,33.05944550031563,3964.7367950786893
flappy-rescue-gru-s2,flappy,rescue,gru,4,descending,131072,0.4041666666666666,0.30000000000000004,0.8890356671070013,0.35490654244015485,0.1692788529791282,0.06321025395139222,0.3323442594749272,0.00470733642578125,0.00041734033918623627,0.28499993400038404,0.6497171866055668,0.29010416666666666,0.883392333984375,"[0.0, 0.0625, 0.17708333333333331, 0.30208333333333337, 0.2708333333333333, 0.20833333333333331, 0.23958333333333331, 0.3333333333333333]",0.3333333333333333,0.3333333333333333,0.0,True,33.127145579026546,3956.6342861421867
flappy-ticks-gru-s0,flappy,ticks,gru,8,descending,65536,0.2125,0.125,0.8968968968968969,0.6503623418745927,0.2571007743418822,0.020488544420305115,0.2632042756544372,0.005889892578125,0.000583300889719906,0.19316198358485132,0.5310809085849468,0.19895833333333332,0.8780517578125,"[0.010416666666666666, 0.03125, 0.07291666666666667, 0.12499999999999999]",0.12499999999999999,0.12499999999999999,0.0,True,28.09085625305306,2333.0011520342036
flappy-ticks-gru-s1,flappy,ticks,gru,8,descending,65536,0.0125,0.0,0.6030989272943981,0.6610960898099274,0.418889097888275,0.02205238255662155,0.014525713120726334,0.008453369140625,0.0009274378699773719,0.19211879044782543,0.4404341876299869,0.006874999999999999,0.5947265625,"[0.0, 0.010416666666666666, 0.010416666666666666, 0.010416666666666666]",0.010416666666666666,0.010416666666666666,0.0,True,28.13848775497172,2329.0519579688716
flappy-ticks-gru-s2,flappy,ticks,gru,8,descending,65536,0.17916666666666664,0.09999999999999998,0.890668139149641,0.6448523445680938,0.24751398761719878,0.02262291259181762,0.2649201687276971,0.0081634521484375,0.0007733644801960274,0.19240860738047852,0.5425038815078829,0.22312500000000002,0.8775634765625,"[0.0, 0.05208333333333333, 0.3541666666666667, 0.40625]",0.40625,0.40625,0.0,True,28.103809087944683,2331.9258892956295
pong-all_readout-linear-s0,pong,all_readout,linear,8,all,65536,0.8972222222222221,0.475,0.42725694444444445,1.0417448527002906,0.7967565277857722,0.46653633729064203,0.3403080079964683,0.0004425048828125,0.0001679411771588546,2.3685895128948706,2.2661828374381052,0.8324999999999999,0.37762451171875,"[0.8194444444444444, 0.8958333333333333, 0.9305555555555555, 0.9027777777777777]",0.9305555555555555,0.9027777777777777,0.02777777777777779,False,25.69081020914018,2550.9510780895434
pong-all_readout-linear-s1,pong,all_readout,linear,8,all,65536,0.8194444444444443,0.55,0.42430555555555555,1.0533339846120269,0.7581690294237184,0.46494661908981627,0.32308296333810665,0.0004730224609375,0.00018392850055965436,2.3943132502364115,2.1929541835101003,0.7825,0.38763427734375,"[0.5277777777777778, 0.7916666666666666, 0.8263888888888888, 0.8333333333333333]",0.8333333333333333,0.8333333333333333,0.0,True,25.52332512900466,2567.690521072625
pong-all_readout-linear-s2,pong,all_readout,linear,8,all,65536,0.8833333333333332,0.6,0.45086805555555554,1.0439093884002304,0.781249769231119,0.4889315537316371,0.3096006993274427,0.0003509521484375,0.00016932205743630266,2.3937567896558756,2.2145510192300595,0.8172222222222222,0.382568359375,"[0.7083333333333333, 0.8333333333333333, 0.8819444444444444, 0.875]",0.8819444444444444,0.875,0.00694444444444442,False,25.380455456965137,2582.1443634501447
pong-longer-linear-s0,pong,longer,linear,8,all,131072,0.9361111111111111,0.35,0.4107638888888889,0.9580091708644534,0.7083371972504564,0.38170904981122394,0.310851514564887,0.0002899169921875,0.00014898781372186135,2.2039840766419934,2.1347679594617235,0.9022916666666667,0.38092041015625,"[0.75, 0.8472222222222221, 0.9305555555555556, 0.9444444444444444, 0.9583333333333333, 0.9097222222222221, 0.9652777777777777, 0.9583333333333333]",0.9652777777777777,0.9583333333333333,0.00694444444444442,False,51.00653966702521,2569.7097049838817
pong-longer-linear-s1,pong,longer,linear,8,all,131072,0.9416666666666667,0.6,0.42586805555555557,0.9668141502455101,0.6904016287778203,0.3843387135976444,0.3032279159432616,0.0002593994140625,0.00014473094097394327,2.216706515721957,2.087448027460129,0.9078472222222222,0.394561767578125,"[0.6944444444444444, 0.8055555555555556, 0.8819444444444444, 0.8888888888888888, 0.9513888888888888, 0.9583333333333333, 0.9652777777777777, 0.9375]",0.9652777777777777,0.9375,0.02777777777777768,False,50.67139204207342,2586.706121891588
